From	To	Species	Gene Name
100506658	OCLN	Homo sapiens	occludin(OCLN)
3640	INSL3	Homo sapiens	insulin like 3(INSL3)
81849	ST6GALNAC5	Homo sapiens	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5(ST6GALNAC5)
259266	ASPM	Homo sapiens	abnormal spindle microtubule assembly(ASPM)
81846	SBF2	Homo sapiens	SET binding factor 2(SBF2)
81847	RNF146	Homo sapiens	ring finger protein 146(RNF146)
81848	SPRY4	Homo sapiens	sprouty RTK signaling antagonist 4(SPRY4)
2306	FOXD2	Homo sapiens	forkhead box D2(FOXD2)
3638	INSIG1	Homo sapiens	insulin induced gene 1(INSIG1)
4969	OGN	Homo sapiens	osteoglycin(OGN)
56896	DPYSL5	Homo sapiens	dihydropyrimidinase like 5(DPYSL5)
2305	FOXM1	Homo sapiens	forkhead box M1(FOXM1)
56897	WRNIP1	Homo sapiens	Werner helicase interacting protein 1(WRNIP1)
81853	TMEM14B	Homo sapiens	transmembrane protein 14B(TMEM14B)
2304	FOXE1	Homo sapiens	forkhead box E1(FOXE1)
56898	BDH2	Homo sapiens	3-hydroxybutyrate dehydrogenase, type 2(BDH2)
55561	CDC42BPG	Homo sapiens	CDC42 binding protein kinase gamma(CDC42BPG)
81855	SFXN3	Homo sapiens	sideroflexin 3(SFXN3)
55568	GALNT10	Homo sapiens	polypeptide N-acetylgalactosaminyltransferase 10(GALNT10)
56892	c8orf4	Homo sapiens	chromosome 8 open reading frame 4(C8orf4)
284217	LAMA1	Homo sapiens	laminin subunit alpha 1(LAMA1)
55567	DNAH3	Homo sapiens	dynein axonemal heavy chain 3(DNAH3)
56893	UBQLN4	Homo sapiens	ubiquilin 4(UBQLN4)
2300	FOXL1	Homo sapiens	forkhead box L1(FOXL1)
56894	AGPAT3	Homo sapiens	1-acylglycerol-3-phosphate O-acyltransferase 3(AGPAT3)
81850	KRTAP1-3	Homo sapiens	keratin associated protein 1-3(KRTAP1-3)
55565	ZNF821	Homo sapiens	zinc finger protein 821(ZNF821)
56895	AGPAT4	Homo sapiens	1-acylglycerol-3-phosphate O-acyltransferase 4(AGPAT4)
81851	KRTAP1-1	Homo sapiens	keratin associated protein 1-1(KRTAP1-1)
3630	INS	Homo sapiens	insulin(INS)
3632	INPP5A	Homo sapiens	inositol polyphosphate-5-phosphatase A(INPP5A)
3633	INPP5B	Homo sapiens	inositol polyphosphate-5-phosphatase B(INPP5B)
2309	FOXO3	Homo sapiens	forkhead box O3(FOXO3)
3635	INPP5D	Homo sapiens	inositol polyphosphate-5-phosphatase D(INPP5D)
2308	FOXO1	Homo sapiens	forkhead box O1(FOXO1)
3651	PDX1	Homo sapiens	pancreatic and duodenal homeobox 1(PDX1)
81839	VANGL1	Homo sapiens	VANGL planar cell polarity protein 1(VANGL1)
55571	CNOT11	Homo sapiens	CCR4-NOT transcription complex subunit 11(CNOT11)
2317	FLNB	Homo sapiens	filamin B(FLNB)
145258	GSC	Homo sapiens	goosecoid homeobox(GSC)
1	A1BG	Homo sapiens	alpha-1-B glycoprotein(A1BG)
2316	FLNA	Homo sapiens	filamin A(FLNA)
121268	RHEBL1	Homo sapiens	Ras homolog enriched in brain like 1(RHEBL1)
2	A2M	Homo sapiens	alpha-2-macroglobulin(A2M)
2314	FLII	Homo sapiens	FLII, actin remodeling protein(FLII)
55572	FOXRED1	Homo sapiens	FAD dependent oxidoreductase domain containing 1(FOXRED1)
81844	TRIM56	Homo sapiens	tripartite motif containing 56(TRIM56)
2313	FLI1	Homo sapiens	Fli-1 proto-oncogene, ETS transcription factor(FLI1)
284207	METRNL	Homo sapiens	meteorin like, glial cell differentiation regulator(METRNL)
3641	INSL4	Homo sapiens	insulin like 4(INSL4)
9	nat1	Homo sapiens	N-acetyltransferase 1(NAT1)
3642	INSM1	Homo sapiens	INSM transcriptional repressor 1(INSM1)
4973	OLR1	Homo sapiens	oxidized low density lipoprotein receptor 1(OLR1)
3643	INSR	Homo sapiens	insulin receptor(INSR)
4976	OPA1	Homo sapiens	OPA1, mitochondrial dynamin like GTPase(OPA1)
3646	EIF3E	Homo sapiens	eukaryotic translation initiation factor 3 subunit E(EIF3E)
4978	OPCML	Homo sapiens	opioid binding protein/cell adhesion molecule like(OPCML)
2318	FLNC	Homo sapiens	filamin C(FLNC)
92521	SPECC1	Homo sapiens	sperm antigen with calponin homology and coiled-coil domains 1(SPECC1)
4990	SIX6	Homo sapiens	SIX homeobox 6(SIX6)
3660	IRF2	Homo sapiens	interferon regulatory factor 2(IRF2)
4991	OR1D2	Homo sapiens	olfactory receptor family 1 subfamily D member 2(OR1D2)
3661	IRF3	Homo sapiens	interferon regulatory factor 3(IRF3)
4992	OR1F1	Homo sapiens	olfactory receptor family 1 subfamily F member 1(OR1F1)
3662	IRF4	Homo sapiens	interferon regulatory factor 4(IRF4)
1000	CDH2	Homo sapiens	cadherin 2(CDH2)
259240	WFDC9	Homo sapiens	WAP four-disulfide core domain 9(WFDC9)
2328	FMO3	Homo sapiens	flavin containing monooxygenase 3(FMO3)
55586	MIOX	Homo sapiens	myo-inositol oxygenase(MIOX)
2327	FMO2	Homo sapiens	flavin containing monooxygenase 2(FMO2)
55585	UBE2Q1	Homo sapiens	ubiquitin conjugating enzyme E2 Q1(UBE2Q1)
81875	ISG20L2	Homo sapiens	interferon stimulated exonuclease gene 20 like 2(ISG20L2)
2326	FMO1	Homo sapiens	flavin containing monooxygenase 1(FMO1)
55584	CHRNA9	Homo sapiens	cholinergic receptor nicotinic alpha 9 subunit(CHRNA9)
2324	FLT4	Homo sapiens	fms related tyrosine kinase 4(FLT4)
2323	FLT3LG	Homo sapiens	fms related tyrosine kinase 3 ligand(FLT3LG)
55589	BMP2K	Homo sapiens	BMP2 inducible kinase(BMP2K)
2322	FLT3	Homo sapiens	fms related tyrosine kinase 3(FLT3)
2321	FLT1	Homo sapiens	fms related tyrosine kinase 1(FLT1)
81873	ARPC5L	Homo sapiens	actin related protein 2/3 complex subunit 5 like(ARPC5L)
4983	OPHN1	Homo sapiens	oligophrenin 1(OPHN1)
3654	IRAK1	Homo sapiens	interleukin 1 receptor associated kinase 1(IRAK1)
4985	OPRD1	Homo sapiens	opioid receptor delta 1(OPRD1)
4986	OPRK1	Homo sapiens	opioid receptor kappa 1(OPRK1)
4987	OPRL1	Homo sapiens	opioid related nociceptin receptor 1(OPRL1)
4988	OPRM1	Homo sapiens	opioid receptor mu 1(OPRM1)
3659	IRF1	Homo sapiens	interferon regulatory factor 1(IRF1)
3670	ISL1	Homo sapiens	ISL LIM homeobox 1(ISL1)
3672	ITGA1	Homo sapiens	integrin subunit alpha 1(ITGA1)
3673	ITGA2	Homo sapiens	integrin subunit alpha 2(ITGA2)
2342	FNTB	Homo sapiens	farnesyltransferase, CAAX box, beta(FNTB)
1010	CDH12	Homo sapiens	cadherin 12(CDH12)
55593	OTUD5	Homo sapiens	OTU deubiquitinase 5(OTUD5)
81858	SHARPIN	Homo sapiens	SHANK associated RH domain interactor(SHARPIN)
2339	FNTA	Homo sapiens	farnesyltransferase, CAAX box, alpha(FNTA)
55596	ZCCHC8	Homo sapiens	zinc finger CCHC-type containing 8(ZCCHC8)
1006	CDH8	Homo sapiens	cadherin 8(CDH8)
1005	CDH7	Homo sapiens	cadherin 7(CDH7)
2335	FN1	Homo sapiens	fibronectin 1(FN1)
1003	CDH5	Homo sapiens	cadherin 5(CDH5)
2334	AFF2	Homo sapiens	AF4/FMR2 family member 2(AFF2)
1002	CDH4	Homo sapiens	cadherin 4(CDH4)
55599	RNPC3	Homo sapiens	RNA binding region (RNP1, RRM) containing 3(RNPC3)
1001	CDH3	Homo sapiens	cadherin 3(CDH3)
171546	SPTSSA	Homo sapiens	serine palmitoyltransferase small subunit A(SPTSSA)
4994	OR3A1	Homo sapiens	olfactory receptor family 3 subfamily A member 1(OR3A1)
3664	IRF6	Homo sapiens	interferon regulatory factor 6(IRF6)
3667	IRS1	Homo sapiens	insulin receptor substrate 1(IRS1)
4998	ORC1	Homo sapiens	origin recognition complex subunit 1(ORC1)
4999	ORC2	Homo sapiens	origin recognition complex subunit 2(ORC2)
285590	SH3PXD2B	Homo sapiens	SH3 and PX domains 2B(SH3PXD2B)
1009	CDH11	Homo sapiens	cadherin 11(CDH11)
158584	FAAH2	Homo sapiens	fatty acid amide hydrolase 2(FAAH2)
116729	PPP1R27	Homo sapiens	protein phosphatase 1 regulatory subunit 27(PPP1R27)
3680	ITGA9	Homo sapiens	integrin subunit alpha 9(ITGA9)
3681	ITGAD	Homo sapiens	integrin subunit alpha D(ITGAD)
3683	ITGAL	Homo sapiens	integrin subunit alpha L(ITGAL)
3684	ITGAM	Homo sapiens	integrin subunit alpha M(ITGAM)
1022	CDK7	Homo sapiens	cyclin dependent kinase 7(CDK7)
2353	FOS	Homo sapiens	Fos proto-oncogene, AP-1 transcription factor subunit(FOS)
285513	GPRIN3	Homo sapiens	GPRIN family member 3(GPRIN3)
1021	CDK6	Homo sapiens	cyclin dependent kinase 6(CDK6)
2352	FOLR3	Homo sapiens	folate receptor 3(FOLR3)
1020	CDK5	Homo sapiens	cyclin dependent kinase 5(CDK5)
2350	FOLR2	Homo sapiens	folate receptor beta(FOLR2)
81889	FAHD1	Homo sapiens	fumarylacetoacetate hydrolase domain containing 1(FAHD1)
79570	NKAIN1	Homo sapiens	Na+/K+ transporting ATPase interacting 1(NKAIN1)
146540	ZNF785	Homo sapiens	zinc finger protein 785(ZNF785)
79572	ATP13A3	Homo sapiens	ATPase 13A3(ATP13A3)
1019	CDK4	Homo sapiens	cyclin dependent kinase 4(CDK4)
79574	EPS8L3	Homo sapiens	EPS8 like 3(EPS8L3)
1017	CDK2	Homo sapiens	cyclin dependent kinase 2(CDK2)
2348	folr1	Homo sapiens	folate receptor 1(FOLR1)
1016	CDH18	Homo sapiens	cadherin 18(CDH18)
1015	CDH17	Homo sapiens	cadherin 17(CDH17)
2346	folh1	Homo sapiens	folate hydrolase 1(FOLH1)
81892	SLIRP	Homo sapiens	SRA stem-loop interacting RNA binding protein(SLIRP)
1014	CDH16	Homo sapiens	cadherin 16(CDH16)
1013	CDH15	Homo sapiens	cadherin 15(CDH15)
81894	SLC25A28	Homo sapiens	solute carrier family 25 member 28(SLC25A28)
1012	CDH13	Homo sapiens	cadherin 13(CDH13)
3675	ITGA3	Homo sapiens	integrin subunit alpha 3(ITGA3)
284257	BOD1L2	Homo sapiens	biorientation of chromosomes in cell division 1 like 2(BOD1L2)
3676	ITGA4	Homo sapiens	integrin subunit alpha 4(ITGA4)
100128731	OST4	Homo sapiens	oligosaccharyltransferase complex subunit 4, non-catalytic(OST4)
81890	QTRT1	Homo sapiens	queuine tRNA-ribosyltransferase catalytic subunit 1(QTRT1)
135892	TRIM50	Homo sapiens	tripartite motif containing 50(TRIM50)
3678	ITGA5	Homo sapiens	integrin subunit alpha 5(ITGA5)
3679	itga7	Homo sapiens	integrin subunit alpha 7(ITGA7)
284252	KCTD1	Homo sapiens	potassium channel tetramerization domain containing 1(KCTD1)
3690	ITGB3	Homo sapiens	integrin subunit beta 3(ITGB3)
3691	ITGB4	Homo sapiens	integrin subunit beta 4(ITGB4)
3692	EIF6	Homo sapiens	eukaryotic translation initiation factor 6(EIF6)
1033	CDKN3	Homo sapiens	cyclin dependent kinase inhibitor 3(CDKN3)
1031	CDKN2C	Homo sapiens	cyclin dependent kinase inhibitor 2C(CDKN2C)
1030	CDKN2B	Homo sapiens	cyclin dependent kinase inhibitor 2B(CDKN2B)
285527	FRYL	Homo sapiens	FRY like transcription coactivator(FRYL)
1029	CDKN2A	Homo sapiens	cyclin dependent kinase inhibitor 2A(CDKN2A)
1028	CDKN1C	Homo sapiens	cyclin dependent kinase inhibitor 1C(CDKN1C)
2359	FPR3	Homo sapiens	formyl peptide receptor 3(FPR3)
81887	LAS1L	Homo sapiens	LAS1 like, ribosome biogenesis factor(LAS1L)
2358	FPR2	Homo sapiens	formyl peptide receptor 2(FPR2)
81888	HYI	Homo sapiens	hydroxypyruvate isomerase (putative)(HYI)
1026	CDKN1A	Homo sapiens	cyclin dependent kinase inhibitor 1A(CDKN1A)
2357	FPR1	Homo sapiens	formyl peptide receptor 1(FPR1)
79568	MAIP1	Homo sapiens	matrix AAA peptidase interacting protein 1(MAIP1)
79567	FAM65A	Homo sapiens	family with sequence similarity 65 member A(FAM65A)
1024	CDK8	Homo sapiens	cyclin dependent kinase 8(CDK8)
2355	FOSL2	Homo sapiens	FOS like 2, AP-1 transcription factor subunit(FOSL2)
2354	FOSB	Homo sapiens	FosB proto-oncogene, AP-1 transcription factor subunit(FOSB)
3685	ITGAV	Homo sapiens	integrin subunit alpha V(ITGAV)
3687	ITGAX	Homo sapiens	integrin subunit alpha X(ITGAX)
3689	ITGB2	Homo sapiens	integrin subunit beta 2(ITGB2)
285533	RNF175	Homo sapiens	ring finger protein 175(RNF175)
1044	CDX1	Homo sapiens	caudal type homeobox 1(CDX1)
1043	CD52	Homo sapiens	CD52 molecule(CD52)
79591	c10orf76	Homo sapiens	chromosome 10 open reading frame 76(C10orf76)
1041	CDSN	Homo sapiens	corneodesmosin(CDSN)
79590	MRPL24	Homo sapiens	mitochondrial ribosomal protein L24(MRPL24)
